county_fips,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,other_difference
45001,0.3511111111111111,13588.0,0.015090439276485788,584.0,0.0061757105943152455,239.0,0.6276227390180878,24289.0,24951,17196,6777,77,334,38,0.689190813995431,0.27161236022604307,0.013386237024568154,0.0030860486553645145,0.0015229850506993708,-0.06156807497734318,0.07949875088506803,0.0017042022519176345,0.0046527255436158745
45003,0.35854102042999253,97208.0,0.043807008678781796,11877.0,0.00935006878847452,2535.0,0.5883019021027511,159501.0,165146,110512,40155,1393,9312,632,0.6691775762052972,0.24314848679350393,0.05638647015368219,0.008434960580334976,0.0038269167887808363,-0.08087567410254604,0.1153925336364886,-0.012579461474900397,0.005523151999693683
45005,0.5911814550296575,19535.0,0.015161602711536134,501.0,0.003692046967679458,122.0,0.389964895291127,12886.0,9589,2176,7076,0,295,23,0.22692668682865783,0.7379288768380436,0.03076441756178955,0.0,0.002398581708207321,0.16303820846246916,-0.14674742180838618,-0.015602814850253418,0.001293465259472137
45007,0.21724389861671814,98423.0,0.03521221578932266,15953.0,0.013422270683562408,6081.0,0.7341216149103968,332596.0,192709,149934,30909,1766,6903,537,0.7780332003175773,0.16039209377870262,0.03582084905219787,0.0091640764053573,0.0027865849545169142,-0.04391158540718043,0.056851804838015524,-0.000608633262875212,0.010635685729045493
45009,0.5518444579463588,31789.0,0.011266383126464717,649.0,0.0042010242166478605,242.0,0.4326881347105286,24925.0,15057,5331,9419,55,170,28,0.3540545925483164,0.6255562196984791,0.011290429700471541,0.0036527860795643225,0.0018596001859600185,0.07863354216221219,-0.07371176175212024,-2.40465740068245e-05,0.002341424030687842
45011,0.4810309278350515,30329.0,0.011530531324345757,727.0,0.0033148295003965107,209.0,0.5041237113402062,31785.0,21917,11236,9848,61,496,29,0.5126614043892869,0.4493315691016106,0.02263083451202263,0.0027832276315189123,0.0013231737920335813,-0.008537693049080697,0.03169935873344093,-0.011100303187676875,0.0019916557083629292
45013,0.29207814078814415,43359.0,0.08759178174469519,13003.0,0.010986864264061974,1631.0,0.6093432132030987,90457.0,175316,117777,31877,2102,20756,596,0.671798352688859,0.18182595998083462,0.11839193228227886,0.01198977845718588,0.0033995756234456638,-0.062455139485760314,0.11025218080730953,-0.03080015053758367,0.007587288640616311
45015,0.3310631037075597,68685.0,0.04520697167755991,9379.0,0.007967493782173636,1653.0,0.6157624308327068,127751.0,199081,127620,47945,4618,12618,1406,0.6410456045529207,0.24083162129987293,0.06338123678301796,0.023196588323345774,0.007062451966787388,-0.025283173720213936,0.09023148240768677,-0.018174265105458054,0.0009050418153862478
45017,0.4710561416272584,19424.0,0.027646416878865043,1140.0,0.005505032132896811,227.0,0.49579240936097974,20444.0,14886,7964,6223,0,521,61,0.5349993282278651,0.4180437995431949,0.034999328227865105,0.0,0.004097810022840253,-0.039206918866885376,0.05301234208406347,-0.007352911349000062,0.0014072221100565581
45019,0.38557245369395177,54914.0,0.05117186951454129,7288.0,0.012399769698501636,1766.0,0.5508559070930052,78454.0,380673,242074,106727,5061,19682,1006,0.6359106109443012,0.28036398693892134,0.05170316781069317,0.013294875129047765,0.002642688081371676,-0.08505470385129599,0.10520846675503043,-0.0005312982961518734,0.00975708161712996
45021,0.25280238190795307,54171.0,0.03223322537590652,6907.0,0.012250212337013842,2625.0,0.7027141803791266,150579.0,56274,41228,11254,368,2339,98,0.732629633578562,0.19998578384333796,0.04156448804065821,0.006539432064541351,0.0017414791911006858,-0.02991545319943545,0.05281659806461511,-0.009331262664751691,0.010508733145913156
45023,0.4085365373562087,51887.0,0.020463439023045975,2599.0,0.009141228436227925,1161.0,0.5618587951845174,71360.0,32435,19107,12082,39,640,132,0.5890858640357638,0.3724988438415292,0.01973177123477725,0.0012024048096192384,0.0040696778171728076,-0.027227068851246372,0.0360376935146795,0.0007316677882687264,0.005071550619055117
45025,0.35809662013623417,33067.0,0.02091162105673536,1931.0,0.004440064543377265,410.0,0.6165516942636532,56933.0,46083,28126,14813,227,1974,259,0.6103335286331185,0.32144174641407897,0.04283575288067183,0.0049258945815159605,0.0056202938176768006,0.006218165630534678,0.0366548737221552,-0.02192413182393647,-0.0011802292742995359
45029,0.33448600829925973,44011.0,0.034154645913450576,4494.0,0.013315295870130264,1752.0,0.6180440499171594,81321.0,37884,21329,14352,15,1210,741,0.5630081300813008,0.37884067152359835,0.03193960511033682,0.0003959455178967374,0.019559708584098827,0.05503591983585865,-0.04435466322433862,0.0022150408031137575,-0.006244412713968563
45031,0.40597151386303304,73709.0,0.015845826769918817,2877.0,0.007297782575649089,1325.0,0.5708848767913991,103651.0,67689,37386,27566,353,1308,206,0.5523201701901342,0.40724489946667847,0.01932367149758454,0.005215027552482678,0.0030433305263779936,0.018564706601264858,-0.0012733856036454272,-0.0034778447276657236,0.004254452049271096
45035,0.3682871989827123,83701.0,0.04618715102234777,10497.0,0.013860105336800559,3150.0,0.5716655446581395,129923.0,148517,96401,37109,2808,7782,1089,0.6490906764882135,0.24986365197250146,0.05239804197499276,0.018906926479796925,0.007332493923254577,-0.07742513183007405,0.11842354701021082,-0.006210890952644987,0.006527611413545982
45037,0.44410287289841066,28026.0,0.032151742278986484,2029.0,0.004325986023737462,273.0,0.5194193987988655,32779.0,26388,14855,9656,81,1643,89,0.5629452781567379,0.3659239048052145,0.06226314991662877,0.0030695770804911324,0.003372745187206306,-0.04352587935787244,0.07817896809319619,-0.030111407637642286,0.0009532408365311561
45039,0.5259171448653526,50132.0,0.02358297577709472,2248.0,0.010322797226272778,984.0,0.44017708213128,41959.0,23025,8626,13026,45,447,57,0.37463626492942453,0.5657328990228013,0.01941368078175896,0.001954397394136808,0.00247557003257329,0.06554081720185545,-0.03981575415744876,0.004169294995335762,0.007847227193699489
45041,0.4163925570450181,112538.0,0.02646992440864472,7154.0,0.012657759491469609,3421.0,0.5444797590548676,147156.0,138575,73259,58004,1700,3554,431,0.528659570629623,0.41857477900054124,0.025646761681399965,0.012267725058632509,0.003110229117806242,0.015820188425244575,-0.002182221955523145,0.0008231627272447563,0.009547530373663366
45043,0.33608293389811617,48240.0,0.026251254040798127,3768.0,0.0045633151265187825,655.0,0.6331024969345669,90873.0,60804,38325,19279,137,2013,227,0.6303039273731992,0.3170679560555227,0.0331063745806197,0.0022531412407078484,0.0037333070192750476,0.002798569561367703,0.019014977842593483,-0.006855120539821572,0.0008300081072437349
45045,0.24009524616406777,161532.0,0.08669957475144288,58330.0,0.01294622486002173,8710.0,0.6602589542244677,444211.0,482191,334238,87132,10210,43716,1614,0.6931651565458501,0.18070017897472163,0.09066116953655294,0.02117418201501065,0.0033472213293072664,-0.032906202321382416,0.059395067189346146,-0.003961594785110059,0.009599003530714464
45047,0.3550692579133091,67417.0,0.03040501395691789,5773.0,0.005024490440827935,954.0,0.609501237688945,115726.0,69881,42119,21545,607,4166,231,0.6027246318741861,0.3083098410154405,0.059615632289177316,0.008686195103103847,0.003305619553240509,0.006776605814758918,0.04675941689786861,-0.029210618332259426,0.0017188708875874262
45049,0.5529235132204521,26516.0,0.013199599632996915,633.0,0.0035866210693135375,172.0,0.43029026607723747,20635.0,20296,8350,11206,70,479,109,0.4114111154907371,0.5521284982262514,0.02360070949940875,0.003448955459203784,0.005370516357903035,0.01887915058650036,0.000795014994200649,-0.010401109866411837,-0.0017838952885894975
45051,0.18065765057031236,108161.0,0.04365741506279365,26138.0,0.008954296508976846,5361.0,0.7667306378579172,459047.0,300418,231875,40448,3423,18575,2334,0.7718412345465319,0.13463906956307545,0.061830516147501145,0.01139412418696616,0.0077691749495702655,-0.005110596688614688,0.04601858100723691,-0.018173101084707495,0.00118512155940658
45053,0.3986647027834819,37081.0,0.09663165363981378,8988.0,0.009536301377226839,887.0,0.4951673421994775,46057.0,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722,0.084882636836423,-0.03972270249864862,-0.03829073288266101,0.009242032268126567
45055,0.38136244210901316,68511.0,0.02767077841111507,4971.0,0.0062455468471677945,1122.0,0.5847212326327039,105044.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978,-0.1062916061690079,0.13885174310758663,-0.018374553654188466,0.003994793954474817
45057,0.2732588299337155,42668.0,0.030625380255531718,4782.0,0.006852604950526754,1070.0,0.6892631848602261,107625.0,83704,58703,18740,732,4520,635,0.7013165440122335,0.22388416324190002,0.05399980885023416,0.00874510178725031,0.007586256331835993,-0.012053359152007448,0.04937466669181545,-0.02337442859470244,-0.0007336513813092395
45059,0.30038888918525314,56310.0,0.03424785417455736,6420.0,0.010039635756466816,1882.0,0.6553236208837226,122845.0,66442,45371,16560,215,3054,141,0.6828662592938202,0.2492399385930586,0.04596490171879233,0.0032359049998494926,0.002122151651064086,-0.02754263841009752,0.05114895059219454,-0.011717047544234964,0.00791748410540273
45061,0.5441441745199521,32277.0,0.018493855049985672,1097.0,0.009643104000539474,572.0,0.4277188664295227,25371.0,18189,5944,11403,8,415,49,0.3267909175875529,0.6269173676397823,0.022815987684864477,0.00043982626862389357,0.002693935895321348,0.10092794884196982,-0.08277319311983022,-0.004322132634878805,0.006949168105218126
45063,0.2761525830807027,110495.0,0.04170717504367407,16688.0,0.01278356905251635,5115.0,0.6693566728231068,267825.0,277702,210760,39756,4454,16271,1324,0.7589430396612196,0.14316065422647298,0.05859158378405629,0.016038775377923097,0.004767700628731518,-0.08958636683811272,0.1329919288542297,-0.016884408740382217,0.008015868423784833
45065,0.44804134929270945,9882.0,0.01074537540805223,237.0,0.008841131664853102,195.0,0.5323721436343852,11742.0,9806,4797,4697,30,122,31,0.48919029165816846,0.47899245359983683,0.012441362431164593,0.00305935141749949,0.0031613297980828065,0.04318185197621677,-0.030951104307127386,-0.0016959870231123622,0.005679801866770295
45067,0.3855689317021899,35583.0,0.025095625602739282,2316.0,0.010759912013609717,993.0,0.5785755306814611,53395.0,31975,12493,18077,209,930,166,0.390711493354183,0.5653479280688037,0.0290852228303362,0.00653635652853792,0.005191555903049257,0.18786403732727808,-0.17977899636661382,-0.003989597227596918,0.00556835611056046
45069,0.43197415649676957,30087.0,0.01173007896625987,817.0,0.018391959798994974,1281.0,0.5379038047379756,37465.0,27702,10874,13993,85,971,1091,0.3925348350299617,0.5051259836834886,0.03505162082160133,0.003068370514764277,0.039383438018915605,0.14536896970801388,-0.07315182718671903,-0.02332154185534146,-0.02099147821992063
45071,0.34743335060747393,48271.0,0.0396153624690505,5504.0,0.006319456440375425,878.0,0.6066318304831001,84283.0,37750,22649,11577,83,2928,188,0.5999735099337749,0.3066754966887417,0.07756291390728477,0.0021986754966887415,0.004980132450331126,0.006658320549325247,0.04075785391873221,-0.03794755143823427,0.001339323990044299
45073,0.09363534533064143,13960.0,0.035401672826298386,5278.0,0.007565950539610568,1128.0,0.8633970313034496,128723.0,75375,64187,5497,501,3939,170,0.8515688225538972,0.07292868988391377,0.05225870646766169,0.006646766169154229,0.002255389718076285,0.011828208749552371,0.02070665544672766,-0.016857033641363303,0.005310560821534283
45075,0.611760113290448,147310.0,0.02017882282586577,4859.0,0.0057143569064398644,1376.0,0.3623467069772464,87252.0,89731,29984,55273,848,1963,543,0.33415430564687787,0.6159855568309726,0.021876497531510847,0.009450468622883953,0.006051420356398569,0.028192401330368544,-0.004225443540524565,-0.0016976747056450768,-0.00033706344995870427
45077,0.08965086424281327,15643.0,0.03537205996974004,6172.0,0.007650955939663473,1335.0,0.8673261198477832,151338.0,120722,104294,7814,2109,4439,784,0.8639187554878149,0.06472722453239675,0.03677043123871374,0.017469889498185915,0.006494259538443697,0.0034073643599682457,0.024923639710416515,-0.0013983712689737,0.0011566964012197757
45079,0.5081963243129002,230837.0,0.03371874917442342,15316.0,0.016425671689107673,7461.0,0.44165925482356877,200614.0,401743,175864,184183,10514,21950,1845,0.4377524935095322,0.45845976158887647,0.05463691962274389,0.026170960041618646,0.004592488232526765,0.003906761314036555,0.049736562724023714,-0.02091817044832047,0.011833183456580909
45081,0.33820405719417795,23724.0,0.09860721057208434,6917.0,0.0033073402996564357,232.0,0.5598813919340813,39274.0,20113,11712,5111,0,3024,20,0.5823099487893403,0.2541142544622881,0.1503505195644608,0.0,0.0009943817431511957,-0.02242855685525902,0.08408980273188987,-0.05174330899237646,0.00231295855650524
45083,0.2209250790508728,111160.0,0.05196389993580532,26146.0,0.017829425010483804,8971.0,0.7092815960028381,356880.0,294229,203304,60338,6561,19460,911,0.6909719980015566,0.20507155990741904,0.06613895978982358,0.022298957614647095,0.003096227768166972,0.018309598001281513,0.01585351914345376,-0.014175059854018256,0.014733197242316833
45085,0.5451725195245567,90678.0,0.02242543392914044,3730.0,0.008585394008260736,1428.0,0.42381665253804207,70493.0,107682,49625,50141,1295,4370,241,0.46084768113519436,0.46563956835868575,0.040582455749336006,0.012026151074459984,0.0022380713582585763,-0.03703102859715229,0.07953295116587095,-0.018157021820195567,0.006347322650002159
45087,0.34985739956148304,21222.0,0.009133022305016569,554.0,0.004335712754908587,263.0,0.6366738653785918,38620.0,27928,18263,8611,0,420,63,0.6539315382411917,0.30832855915210544,0.015038670867946148,0.0,0.002255800630191922,-0.017257672862599827,0.0415288404093776,-0.005905648562929579,0.002079912124716665
45089,0.6457159718869038,48142.0,0.008624389720478567,643.0,0.003299533236761629,246.0,0.342360105155856,25525.0,32816,10240,21364,152,890,25,0.3120429058995612,0.6510238907849829,0.02712091662603608,0.004631886884446611,0.0007618235007313506,0.030317199256294836,-0.005307918898079134,-0.01849652690555751,0.0025377097360302784
45091,0.2553303976701468,113010.0,0.03126729823340556,13839.0,0.011708009209155835,5182.0,0.7016942948872917,310572.0,245606,175708,45843,4184,13000,2330,0.7154059754240532,0.18665260620668875,0.0529303030056269,0.017035414444272534,0.009486738923316206,-0.013711680536761417,0.06867779146345807,-0.021663004772221342,0.002221270285839629
