,county_fips,state_officer_id,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
0,33001,,0.009986632067311473,127.0,0.010694346150821734,136.0,0.006605331446095777,84.0,0.972713690335771,12370.0,60392,57471,322,643,1037,226,0.9516326665783548,0.0053318320307325475,0.0171711484964896,0.010647105576897603,0.003742217512253279
1,33003,,0.0072160721607216075,88.0,0.009020090200902008,110.0,0.004920049200492005,60.0,0.9788437884378843,11937.0,47416,45599,168,319,752,92,0.9616796018221697,0.0035431078117091276,0.015859625442888478,0.006727686856757213,0.0019402733254597604
2,33005,,0.00933852140077821,84.0,0.016120066703724293,145.0,0.005447470817120622,49.0,0.9690939410783769,8717.0,76320,72181,526,978,1539,220,0.9457678197064989,0.006892033542976939,0.02016509433962264,0.012814465408805032,0.002882599580712788
3,33007,,0.007054272385936967,62.0,0.009216065536466037,81.0,0.006257822277847309,55.0,0.9774718397997497,8591.0,32219,30694,631,25,589,102,0.9526676805611596,0.019584717092398896,0.018281138458673452,0.0007759396629318104,0.0031658338247617865
4,33009,,0.021535406193756594,347.0,0.015825730776391732,255.0,0.006826785825110159,110.0,0.9558120772047415,15401.0,89164,81506,717,2880,2156,546,0.9141133192768381,0.008041361984657484,0.02418016239738011,0.03230003140280831,0.006123547620115742
5,33011,,0.02254353233830846,290.0,0.051305970149253734,660.0,0.045942164179104475,591.0,0.8802083333333334,11323.0,404948,348784,8164,14837,26274,1404,0.8613056491203809,0.020160613214536188,0.06488240465442477,0.03663927220285074,0.0034671118267036757
6,33013,,0.017515237333004988,569.0,0.02816597919103614,915.0,0.010897001785384473,354.0,0.9434217816905744,30648.0,147715,137993,1675,2463,3010,308,0.9341840706766408,0.011339403581220594,0.020377077480282977,0.016674000609281387,0.0020850963003080257
7,33015,,0.01749475157452764,550.0,0.039029200330809845,1227.0,0.03349449710541383,1053.0,0.9099815509892487,28608.0,300365,280542,2029,5615,8079,417,0.9340036289181496,0.006755114610557156,0.026897274982105104,0.018693922394420123,0.00138831088841909
8,33017,,0.014904018123286037,250.0,0.024621437939668533,413.0,0.012161678788601407,204.0,0.948312865148444,15907.0,125913,115388,1144,3736,2795,221,0.9164105374345779,0.009085638496422133,0.022197866781031347,0.029671280963840113,0.0017551801640815483
9,33019,,0.009731449424534482,104.0,0.015158603911294095,162.0,0.0064564424066623,69.0,0.9686535042575091,10352.0,43051,41113,189,339,653,274,0.954983624073773,0.004390141924693967,0.015168056491138417,0.007874381547466959,0.006364544377598662
